,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
0,40.741793,-73.974964,1 AV/E 31 ST,at stop,5913.3,5562
1,40.78635,-73.942459,1 AV/E 102 ST,approaching,9465.34,6059
0,40.741969,-73.974835,1 AV/E 31 ST,at stop,5935.63,5562
1,40.787409,-73.941682,1 AV/E 106 ST,< 1 stop away,9600.05,6059
0,40.742582,-73.974389,1 AV/E 34 ST,< 1 stop away,6013.54,5562
1,40.787558,-73.941573,1 AV/E 106 ST,< 1 stop away,9619.01,6059
0,40.743166,-73.973963,1 AV/E 34 ST,approaching,6087.75,5562
1,40.787558,-73.941573,1 AV/E 106 ST,< 1 stop away,9619.01,6059
0,40.789349,-73.940266,1 AV/E 106 ST,approaching,9846.529999999999,6059
1,40.743166,-73.973963,1 AV/E 34 ST,approaching,6087.75,5562
0,40.789872,-73.939885,1 AV/E 106 ST,at stop,9912.89,6059
1,40.743166,-73.973963,1 AV/E 34 ST,approaching,6087.75,5562
0,40.791669,-73.938568,1 AV/E 108 ST,at stop,10141.45,6059
1,40.743808,-73.973492,1 AV/E 34 ST,approaching,6169.38,5562
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,6165.67,5562
1,40.792079,-73.938272,1 AV/E 111 ST,approaching,10193.41,6059
0,40.792824,-73.937728,1 AV/E 111 ST,approaching,10288.0,6059
1,40.743779,-73.973513,1 AV/E 34 ST,approaching,6165.67,5562
0,40.792824,-73.937728,1 AV/E 111 ST,approaching,10288.0,6059
1,40.743779,-73.973513,1 AV/E 34 ST,approaching,6165.67,5562
0,40.794232,-73.9367,1 AV/E 113 ST,at stop,10466.92,6059
1,40.744563,-73.972944,1 AV/E 36 ST,approaching,6265.21,5562
0,40.744851,-73.972733,1 AV/E 36 ST,approaching,6301.820000000001,5562
1,40.795307,-73.935915,1 AV/E 116 ST,approaching,10603.539999999999,6059
0,40.796309,-73.935185,1 AV/E 116 ST,at stop,10730.76,6059
1,40.745053,-73.972586,1 AV/E 36 ST,approaching,6327.450000000001,5562
0,40.746041,-73.971865,1 AV/E 39 ST,approaching,6453.0,5562
1,40.796532,-73.935022,1 AV/E 120 ST,< 1 stop away,10759.07,6059
0,40.719233,-73.99024,ALLEN ST/DELANCEY ST,approaching,3084.4199999999996,5873
1,40.746187,-73.971759,1 AV/E 39 ST,approaching,6471.53,5562
2,40.796532,-73.935022,1 AV/E 120 ST,< 1 stop away,10759.07,6059
0,40.719233,-73.99024,ALLEN ST/DELANCEY ST,approaching,3084.4199999999996,5873
1,40.796532,-73.935022,1 AV/E 120 ST,< 1 stop away,10759.07,6059
0,40.719715,-73.989991,ALLEN ST/STANTON ST,< 1 stop away,3142.05,5873
1,40.796532,-73.935022,1 AV/E 120 ST,< 1 stop away,10759.07,6059
0,40.802877,-73.931763,E 126 ST/2 AV,approaching,11611.95,6059
1,40.720135,-73.989774,ALLEN ST/STANTON ST,< 1 stop away,3192.12,5873
0,40.721704,-73.988972,ALLEN ST/STANTON ST,at stop,3379.2200000000003,5873
0,40.721818,-73.988931,ALLEN ST/STANTON ST,at stop,3392.4,5873
0,40.722274,-73.988764,1 AV/E 2 ST,< 1 stop away,3445.04,5873
0,40.723781,-73.988084,1 AV / 4 ST,< 1 stop away,3625.57,5873
0,40.724435,-73.98761,1 AV / 4 ST,approaching,3708.6,5873
0,40.724406,-73.98763,1 AV / 4 ST,approaching,3704.9900000000002,5873
0,40.725516,-73.986825,1 AV/ST MARKS PL,< 1 stop away,3845.7900000000004,5873
0,40.725573,-73.986783,1 AV/ST MARKS PL,< 1 stop away,3853.0200000000004,5873
0,40.725573,-73.986783,1 AV/ST MARKS PL,< 1 stop away,3853.0200000000004,5873
0,40.725772,-73.986638,1 AV/ST MARKS PL,< 1 stop away,3878.34,5873
0,40.726654,-73.985994,1 AV/ST MARKS PL,approaching,3990.4500000000003,5873
1,40.723695,-73.988146,1 AV / 4 ST,< 1 stop away,1502.98,5908
0,40.727509,-73.985373,1 AV/ST MARKS PL,approaching,4098.950000000001,5873
1,40.724492,-73.987568,1 AV / 4 ST,approaching,1604.0600000000002,5908
0,40.727509,-73.985373,1 AV/ST MARKS PL,approaching,4098.950000000001,5873
1,40.725943,-73.986514,1 AV/ST MARKS PL,< 1 stop away,1788.28,5908
0,40.726854,-73.985849,1 AV/ST MARKS PL,approaching,1904.01,5908
1,40.727995,-73.985019,1 AV/E 11 ST,< 1 stop away,4160.66,5873
0,40.729177,-73.984158,1 AV/E 11 ST,approaching,4310.79,5873
1,40.726854,-73.985849,1 AV/ST MARKS PL,approaching,1904.01,5908
0,40.727737,-73.985207,1 AV/ST MARKS PL,at stop,2016.12,5908
1,40.730578,-73.983137,1 AV/E 14 ST,< 1 stop away,4488.72,5873
0,40.730634,-73.983095,1 AV/E 14 ST,< 1 stop away,4495.950000000001,5873
1,40.72788,-73.985103,1 AV/E 11 ST,< 1 stop away,2034.2500000000002,5908
0,40.73163,-73.982369,1 AV/E 14 ST,approaching,4622.490000000001,5873
1,40.727937,-73.985061,1 AV/E 11 ST,< 1 stop away,2041.5800000000002,5908
0,40.73163,-73.982369,1 AV/E 14 ST,approaching,4622.490000000001,5873
1,40.72863,-73.984559,1 AV/E 11 ST,approaching,2129.46,5908
0,40.73163,-73.982369,1 AV/E 14 ST,approaching,4622.490000000001,5873
1,40.72863,-73.984559,1 AV/E 11 ST,approaching,2129.46,5908
0,40.729609,-73.983842,1 AV/E 11 ST,at stop,2253.96,5908
1,40.73163,-73.982369,1 AV/E 14 ST,approaching,4622.490000000001,5873
0,40.731744,-73.982286,1 AV/E 14 ST,approaching,4636.950000000001,5873
1,40.731032,-73.982804,1 AV/E 14 ST,approaching,2434.8199999999997,5908
0,40.731972,-73.98212,1 AV/E 14 ST,at stop,4665.870000000001,5873
1,40.731175,-73.982699,1 AV/E 14 ST,approaching,2452.89,5908
0,40.73163,-73.982369,1 AV/E 14 ST,approaching,2510.74,5908
1,40.733198,-73.981227,1 AV/E 20 ST,< 1 stop away,4821.5599999999995,5873
0,40.731972,-73.98212,1 AV/E 14 ST,at stop,2554.12,5908
1,40.733544,-73.980974,1 AV/E 20 ST,< 1 stop away,4865.5199999999995,5873
0,40.732515,-73.981724,1 AV/E 17 ST,approaching,2623.1099999999997,5908
1,40.733747,-73.980826,1 AV/E 20 ST,< 1 stop away,4891.37,5873
0,40.732825,-73.981498,1 AV/E 17 ST,approaching,2662.54,5908
1,40.734419,-73.980337,1 AV/E 20 ST,approaching,4976.7,5873
0,40.803092,-73.932276,E 126 ST/2 AV,at stop,13772.980000000001,5618
1,40.733625,-73.980915,1 AV/E 20 ST,< 1 stop away,2764.11,5908
2,40.7354,-73.979623,1 AV/E 23 ST,< 1 stop away,5101.26,5873
0,40.734338,-73.980397,1 AV/E 20 ST,approaching,2854.6,5908
1,40.7354,-73.979623,1 AV/E 23 ST,< 1 stop away,5101.26,5873
0,40.734399,-73.980352,1 AV/E 20 ST,approaching,2862.36,5908
1,40.735566,-73.979504,1 AV/E 23 ST,< 1 stop away,5122.2300000000005,5873
0,40.736184,-73.979052,1 AV/E 23 ST,approaching,3089.11,5908
1,40.735566,-73.979504,1 AV/E 23 ST,< 1 stop away,5122.2300000000005,5873
0,40.73668,-73.978692,1 AV/E 23 ST,approaching,3152.0099999999998,5908
1,40.737476,-73.978109,1 AV/E 25 ST,approaching,5365.07,5873
0,40.736866,-73.978557,1 AV/E 23 ST,at stop,3175.6,5908
1,40.737534,-73.978066,1 AV/E 25 ST,approaching,5372.42,5873
0,40.738725,-73.977197,1 AV/E 27 ST,approaching,5523.740000000001,5873
1,40.737419,-73.978151,1 AV/E 25 ST,approaching,3245.95,5908
0,40.739286,-73.976789,1 AV/E 27 ST,approaching,5594.9800000000005,5873
1,40.737419,-73.978151,1 AV/E 25 ST,approaching,3245.95,5908
0,40.739375,-73.976724,1 AV/E 27 ST,approaching,5606.2300000000005,5873
1,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5908
0,40.739375,-73.976724,1 AV/E 27 ST,approaching,5606.2300000000005,5873
1,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5908
0,40.739198,-73.976853,1 AV/E 27 ST,approaching,3471.98,5908
1,40.74062,-73.975816,1 AV/E 31 ST,< 1 stop away,5764.4400000000005,5873
0,40.739286,-73.976789,1 AV/E 27 ST,approaching,3483.23,5908
1,40.74109,-73.975476,1 AV/E 31 ST,approaching,5823.9800000000005,5873
0,40.741939,-73.974857,1 AV/E 31 ST,at stop,5931.91,5873
1,40.74036,-73.976006,1 AV/E 28 ST,at stop,3619.64,5908
0,40.741148,-73.975433,1 AV/E 31 ST,approaching,3719.67,5908
1,40.742173,-73.974687,1 AV/E 34 ST,< 1 stop away,5961.599999999999,5873
0,40.741148,-73.975433,1 AV/E 31 ST,approaching,3719.67,5908
1,40.742319,-73.97458,1 AV/E 34 ST,< 1 stop away,5980.15,5873
0,40.741851,-73.974921,1 AV/E 31 ST,at stop,3808.98,5908
1,40.743196,-73.973942,1 AV/E 34 ST,approaching,6091.46,5873
0,40.741851,-73.974921,1 AV/E 31 ST,at stop,3808.98,5908
1,40.743196,-73.973942,1 AV/E 34 ST,approaching,6091.46,5873
0,40.741969,-73.974835,1 AV/E 31 ST,at stop,3823.87,5908
1,40.743458,-73.973749,1 AV/E 34 ST,approaching,6124.849999999999,5873
0,40.7434,-73.973792,1 AV/E 34 ST,approaching,6117.429999999999,5873
1,40.742378,-73.974538,1 AV/E 34 ST,< 1 stop away,3875.8199999999997,5908
0,40.743837,-73.973471,1 AV/E 34 ST,approaching,6173.089999999999,5873
1,40.743108,-73.974006,1 AV/E 34 ST,approaching,3968.5799999999995,5908
0,40.743837,-73.973471,1 AV/E 34 ST,approaching,6173.089999999999,5873
1,40.743254,-73.973899,1 AV/E 34 ST,approaching,3987.1299999999997,5908
0,40.743837,-73.973471,1 AV/E 34 ST,approaching,6173.089999999999,5873
1,40.743254,-73.973899,1 AV/E 34 ST,approaching,3987.1299999999997,5908
0,40.744071,-73.973302,1 AV/E 34 ST,at stop,6202.7699999999995,5873
1,40.743925,-73.973408,1 AV/E 34 ST,approaching,4072.47,5908
0,40.772589,-73.952503,1 AV/E 79 ST,at stop,7716.96,5830
0,40.774729,-73.950943,1 AV/E 86 ST,< 1 stop away,7988.84,5830
0,40.777093,-73.949216,1 AV/E 86 ST,at stop,8289.25,5830
0,40.777093,-73.949216,1 AV/E 86 ST,at stop,8289.25,5830
0,40.777421,-73.948975,1 AV/E 89 ST,< 1 stop away,8330.94,5830
0,40.778434,-73.948238,1 AV/E 89 ST,approaching,8459.62,5830
0,40.779209,-73.947673,1 AV/E 93 ST,< 1 stop away,8557.97,5830
0,40.781375,-73.946087,1 AV/E 93 ST,at stop,8833.39,5830
0,40.78175,-73.945813,1 AV/ E 97 ST,< 1 stop away,8881.04,5830
0,40.78185,-73.94574,1 AV/ E 97 ST,< 1 stop away,8893.78,5830
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5830
0,40.785429,-73.943131,1 AV/E 99 ST,at stop,9348.35,5830
0,40.786632,-73.942252,1 AV/E 102 ST,approaching,9501.23,5830
0,40.789672,-73.940031,1 AV/E 106 ST,at stop,9887.48,5830
0,40.789938,-73.939836,1 AV/E 108 ST,< 1 stop away,9921.37,5830
0,40.790439,-73.93947,1 AV/E 108 ST,< 1 stop away,9984.980000000001,5830
0,40.791875,-73.93842,1 AV/E 111 ST,< 1 stop away,10167.51,5830
0,40.793716,-73.937077,1 AV/E 113 ST,approaching,10401.34,5830
0,40.79461,-73.936424,1 AV/E 116 ST,< 1 stop away,10514.949999999999,5830
0,40.79471,-73.93635,1 AV/E 116 ST,< 1 stop away,10527.679999999998,5830
0,40.796346,-73.935158,1 AV/E 116 ST,at stop,10735.47,5830
0,40.797146,-73.934573,1 AV/E 120 ST,< 1 stop away,10837.14,5830
0,40.797146,-73.934573,1 AV/E 120 ST,< 1 stop away,10837.14,5830
0,40.800031,-73.932464,1 AV/PALADINO AV,approaching,11203.8,5830
0,40.801691,-73.931248,E 126 ST/2 AV,< 1 stop away,11414.85,5830
0,40.801708,-73.931236,E 126 ST/2 AV,< 1 stop away,11416.990000000002,5830
0,40.802503,-73.93088,E 126 ST/2 AV,approaching,11526.25,5830
0,40.803092,-73.932276,E 126 ST/2 AV,at stop,11661.230000000001,5830
0,40.774737,-73.950938,1 AV/E 86 ST,< 1 stop away,7989.84,5562
0,40.774822,-73.950876,1 AV/E 86 ST,< 1 stop away,8000.65,5562
0,40.77663,-73.949554,1 AV/E 86 ST,approaching,8230.39,5562
0,40.777289,-73.949072,1 AV/E 89 ST,< 1 stop away,8314.210000000001,5562
0,40.7781,-73.948481,1 AV/E 89 ST,approaching,8417.17,5562
0,40.7781,-73.948481,1 AV/E 89 ST,approaching,8417.17,5562
0,40.779845,-73.947208,1 AV/E 93 ST,< 1 stop away,8638.82,5562
0,40.781657,-73.945881,1 AV/ E 97 ST,< 1 stop away,8869.19,5562
0,40.781657,-73.945881,1 AV/ E 97 ST,< 1 stop away,8869.19,5562
0,40.781842,-73.945747,1 AV/ E 97 ST,< 1 stop away,8892.68,5562
0,40.783248,-73.944723,1 AV/ E 97 ST,< 1 stop away,9071.2,5562
0,40.72435,-73.987671,1 AV / 4 ST,approaching,1586.01,5912
1,40.783248,-73.944723,1 AV/ E 97 ST,< 1 stop away,9071.2,5562
0,40.78421,-73.944023,1 AV/ E 97 ST,approaching,9193.35,5562
1,40.724663,-73.987444,1 AV / 4 ST,approaching,1625.72,5912
0,40.724663,-73.987444,1 AV / 4 ST,approaching,1625.72,5912
0,40.725573,-73.986783,1 AV/ST MARKS PL,< 1 stop away,1741.26,5912
0,40.725687,-73.986701,1 AV/ST MARKS PL,< 1 stop away,1755.73,5912
0,40.726114,-73.986389,1 AV/ST MARKS PL,< 1 stop away,1809.98,5912
0,40.72674,-73.985932,1 AV/ST MARKS PL,approaching,1889.54,5912
0,40.726768,-73.985911,1 AV/ST MARKS PL,approaching,1893.1599999999999,5912
0,40.72788,-73.985103,1 AV/E 11 ST,< 1 stop away,2034.2500000000002,5912
0,40.727937,-73.985061,1 AV/E 11 ST,< 1 stop away,2041.5800000000002,5912
0,40.728024,-73.984998,1 AV/E 11 ST,< 1 stop away,2052.5600000000004,5912
0,40.728918,-73.984349,1 AV/E 11 ST,approaching,2166.0800000000004,5912
0,40.731004,-73.982824,1 AV/E 14 ST,approaching,2431.2,5912
0,40.731573,-73.98241,1 AV/E 14 ST,approaching,2503.5,5912
0,40.731573,-73.98241,1 AV/E 14 ST,approaching,2503.5,5912
1,40.723748,-73.988108,1 AV / 4 ST,< 1 stop away,3621.4700000000003,5263
0,40.73237,-73.98183,1 AV/E 17 ST,approaching,2604.72,5912
1,40.723748,-73.988108,1 AV / 4 ST,< 1 stop away,3621.4700000000003,5263
0,40.735009,-73.979905,1 AV/E 20 ST,at stop,2939.93,5912
1,40.72432,-73.987693,1 AV / 4 ST,approaching,3694.03,5263
0,40.7354,-73.979623,1 AV/E 23 ST,< 1 stop away,2989.5099999999998,5912
1,40.725913,-73.986536,1 AV/ST MARKS PL,< 1 stop away,3896.2000000000003,5263
0,40.735462,-73.979578,1 AV/E 23 ST,< 1 stop away,2997.37,5912
1,40.726196,-73.986329,1 AV/ST MARKS PL,< 1 stop away,3932.2300000000005,5263
0,40.737361,-73.978193,1 AV/E 25 ST,approaching,3238.5899999999997,5912
1,40.726244,-73.986294,1 AV/ST MARKS PL,< 1 stop away,3938.2300000000005,5263
0,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5912
1,40.726787,-73.985898,1 AV/ST MARKS PL,approaching,4007.2700000000004,5263
0,40.738026,-73.977707,1 AV/E 25 ST,approaching,3323.2,5912
1,40.728521,-73.984638,1 AV/E 11 ST,approaching,4227.34,5263
0,40.738084,-73.977665,1 AV/E 25 ST,approaching,3330.56,5912
1,40.7305,-73.983193,1 AV/E 14 ST,< 1 stop away,4478.88,5263
0,40.739139,-73.976896,1 AV/E 27 ST,approaching,3464.48,5912
1,40.7305,-73.983193,1 AV/E 14 ST,< 1 stop away,4478.88,5263
0,40.739871,-73.976364,1 AV/E 28 ST,approaching,3557.47,5912
1,40.731214,-73.982671,1 AV/E 14 ST,approaching,4569.610000000001,5263
0,40.740217,-73.976112,1 AV/E 28 ST,approaching,3601.3599999999997,5912
1,40.732825,-73.981498,1 AV/E 17 ST,approaching,4774.299999999999,5263
0,40.740533,-73.97588,1 AV/E 28 ST,at stop,3641.58,5912
1,40.734623,-73.980189,1 AV/E 20 ST,approaching,5002.549999999999,5263
0,40.734704,-73.98013,1 AV/E 20 ST,approaching,5012.889999999999,5263
1,40.741119,-73.975455,1 AV/E 31 ST,approaching,3715.95,5912
0,40.741676,-73.975049,1 AV/E 31 ST,approaching,3786.65,5912
1,40.735379,-73.979638,1 AV/E 23 ST,< 1 stop away,5098.64,5263
0,40.741793,-73.974964,1 AV/E 31 ST,at stop,3801.54,5912
1,40.736659,-73.978707,1 AV/E 23 ST,approaching,5261.14,5263
0,40.741793,-73.974964,1 AV/E 31 ST,at stop,3801.54,5912
1,40.736659,-73.978707,1 AV/E 23 ST,approaching,5261.14,5263
0,40.741851,-73.974921,1 AV/E 31 ST,at stop,3808.98,5912
1,40.737401,-73.978164,1 AV/E 25 ST,approaching,5355.51,5263
0,40.737985,-73.977737,1 AV/E 25 ST,approaching,5429.73,5263
1,40.742378,-73.974538,1 AV/E 34 ST,< 1 stop away,3875.8199999999997,5912
0,40.738011,-73.977718,1 AV/E 25 ST,approaching,5432.96,5263
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742728,-73.974282,1 AV/E 34 ST,< 1 stop away,3920.3399999999997,5912
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.739769,-73.976438,1 AV/E 28 ST,approaching,5656.23,5263
2,40.742816,-73.974219,1 AV/E 34 ST,< 1 stop away,3931.4799999999996,5912
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.739769,-73.976438,1 AV/E 28 ST,approaching,5656.23,5263
2,40.743166,-73.973963,1 AV/E 34 ST,approaching,3975.9999999999995,5912
0,40.743604,-73.973642,1 AV/E 34 ST,approaching,4031.6499999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.74115,-73.975432,1 AV/E 31 ST,approaching,5831.7,5263
0,40.743604,-73.973642,1 AV/E 34 ST,approaching,4031.6499999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.741278,-73.975339,1 AV/E 31 ST,approaching,5847.9400000000005,5263
0,40.743866,-73.97345,1 AV/E 34 ST,approaching,4065.0499999999997,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742045,-73.97478,1 AV/E 34 ST,< 1 stop away,5945.349999999999,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742683,-73.974315,1 AV/E 34 ST,< 1 stop away,6026.38,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742836,-73.974204,1 AV/E 34 ST,< 1 stop away,6045.83,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.743015,-73.974074,1 AV/E 34 ST,approaching,6068.5199999999995,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.744419,-73.973049,1 AV/E 36 ST,approaching,4135.14,5912
0,40.772679,-73.952437,1 AV/E 82 ST,< 1 stop away,7728.41,5714
0,40.7727,-73.952422,1 AV/E 82 ST,< 1 stop away,7731.11,5714
0,40.772359,-73.952672,1 AV/E 79 ST,approaching,7687.77,5908
1,40.772933,-73.95225,1 AV/E 82 ST,< 1 stop away,7760.75,5714
0,40.774225,-73.95131,1 AV/E 82 ST,approaching,7924.8,5908
1,40.774058,-73.951432,1 AV/E 82 ST,approaching,7903.57,5714
0,40.776554,-73.949609,1 AV/E 86 ST,approaching,8220.8,5908
1,40.775142,-73.950644,1 AV/E 86 ST,< 1 stop away,8041.2,5714
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.777247,-73.949103,1 AV/E 89 ST,< 1 stop away,8308.79,5714
0,40.779018,-73.947813,1 AV/E 89 ST,at stop,8533.68,5714
1,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.779124,-73.947735,1 AV/E 93 ST,< 1 stop away,8547.189999999999,5714
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.780312,-73.946868,1 AV/E 93 ST,< 1 stop away,8698.099999999999,5714
0,40.78137,-73.94609,1 AV/E 93 ST,at stop,8832.849999999999,5714
1,40.777331,-73.949041,1 AV/E 89 ST,< 1 stop away,8319.58,5908
0,40.778822,-73.947957,1 AV/E 89 ST,at stop,8508.82,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.779327,-73.947586,1 AV/E 93 ST,< 1 stop away,8573.06,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.779327,-73.947586,1 AV/E 93 ST,< 1 stop away,8573.06,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.781138,-73.946261,1 AV/E 93 ST,approaching,8803.21,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.781138,-73.946261,1 AV/E 93 ST,approaching,8803.21,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.782485,-73.945274,1 AV/ E 97 ST,< 1 stop away,8974.5,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
